features,LR,LGB,XGB,RF,SVM
y0000,True,True,True,True,True
y0001,False,True,True,True,False
y0002,True,True,True,True,True
y0003,True,True,True,True,True
y0004,True,True,True,True,True
y0005,True,True,True,True,True
y0006,False,True,True,True,False
y0007,True,True,True,True,True
y0008,True,False,True,True,True
y0009,True,True,True,True,True
y0010,True,True,True,True,True
y0011,True,True,True,True,True
y0012,True,True,True,True,True
y0013,True,False,True,True,True
y0014,True,True,True,True,True
y0015,True,True,True,True,True
y0016,True,True,True,True,True
y0017,True,True,True,True,True
y0018,True,True,True,True,True
y0019,True,True,True,True,True
y0020,True,True,True,True,True
y0021,True,True,False,True,True
y0022,True,True,True,True,True
y0023,False,True,True,True,True
y0024,True,True,True,True,True
y0025,True,True,True,True,True
y0026,False,True,True,True,False
y0027,True,False,False,True,True
y0028,True,True,True,True,True
y0029,True,False,False,True,True
y0030,True,True,True,True,True
y0031,True,False,True,True,True
y0032,True,False,True,True,True
y0033,False,True,True,True,False
y0034,True,True,True,True,True
y0035,True,True,True,True,True
y0036,True,True,False,True,True
y0037,True,True,True,True,True
