features,LR,LGB,XGB,RF,SVM
y0000,True,True,True,True,True
y0001,False,True,True,True,False
y0002,True,True,True,True,True
y0003,True,True,True,True,True
y0004,False,True,True,True,False
y0005,True,True,True,True,True
y0006,False,True,True,False,False
y0007,True,True,True,True,True
y0008,True,True,True,True,True
y0009,True,True,True,True,True
y0010,True,True,True,True,True
y0011,True,True,True,True,True
y0012,False,True,True,True,False
y0013,True,True,True,True,True
y0014,True,True,True,True,True
y0015,True,True,True,True,True
y0016,True,True,True,True,True
y0017,False,True,True,True,False
y0018,True,True,True,True,True
y0019,True,True,True,True,True
y0020,True,True,True,True,True
y0021,True,True,True,True,True
y0022,True,True,True,True,True
y0023,True,True,True,True,True
y0024,True,True,True,True,True
y0025,True,True,True,True,True
y0026,True,True,True,True,True
y0027,True,True,True,True,True
y0028,False,True,True,False,False
y0029,False,True,True,True,False
y0030,True,True,True,True,True
